timestamp,open,high,low,close,volume
2020-01-10 00:00:00+00,1.110960,1.112920,1.108500,1.112070,45492.0000
2020-01-12 00:00:00+00,1.111620,1.112100,1.111300,1.111630,498.0000
2020-01-13 00:00:00+00,1.111610,1.114700,1.111260,1.113460,36895.0000
2020-01-14 00:00:00+00,1.113440,1.114460,1.110440,1.112780,45116.0000
2020-01-15 00:00:00+00,1.112780,1.116350,1.111840,1.115240,40119.0000
2020-01-16 00:00:00+00,1.115260,1.117260,1.112790,1.113700,42111.0000
2020-01-17 00:00:00+00,1.113700,1.114260,1.108620,1.109050,38114.0000
2020-01-19 00:00:00+00,1.109300,1.109480,1.108920,1.109450,742.0000
2020-01-20 00:00:00+00,1.109470,1.110260,1.107670,1.109640,22719.0000
2020-01-21 00:00:00+00,1.109620,1.111800,1.108110,1.108520,39848.0000
2020-01-22 00:00:00+00,1.108530,1.109840,1.107020,1.109580,42020.0000
2020-01-23 00:00:00+00,1.109570,1.110880,1.103640,1.105540,59422.0000
2020-01-24 00:00:00+00,1.105550,1.106190,1.101980,1.102520,46314.0000
2020-01-26 00:00:00+00,1.103420,1.103420,1.102390,1.102460,2858.0000
2020-01-27 00:00:00+00,1.102470,1.103760,1.100980,1.101940,40878.0000
2020-01-28 00:00:00+00,1.101960,1.102540,1.099800,1.102220,37975.0000
2020-01-29 00:00:00+00,1.102230,1.102770,1.099240,1.101380,39408.0000
2020-01-30 00:00:00+00,1.101380,1.103940,1.100690,1.102880,47837.0000
2020-01-31 00:00:00+00,1.102860,1.109550,1.101700,1.109450,51661.0000
2020-02-02 00:00:00+00,1.109560,1.109560,1.108140,1.108920,1094.0000
2020-02-03 00:00:00+00,1.108900,1.108900,1.103560,1.106240,52664.0000
2020-02-04 00:00:00+00,1.106260,1.106420,1.103300,1.104470,46829.0000
2020-02-05 00:00:00+00,1.104490,1.104800,1.099370,1.100020,51493.0000
2020-02-06 00:00:00+00,1.100000,1.101400,1.096460,1.098080,45952.0000
2020-02-07 00:00:00+00,1.098090,1.098500,1.094200,1.094630,56337.0000
2020-02-09 00:00:00+00,1.094500,1.095080,1.094280,1.094920,1306.0000
2020-02-10 00:00:00+00,1.094910,1.095760,1.090780,1.091030,39366.0000
2020-02-11 00:00:00+00,1.091040,1.092490,1.089130,1.091910,44464.0000
2020-02-12 00:00:00+00,1.091900,1.092560,1.086520,1.087560,46027.0000
2020-02-13 00:00:00+00,1.087570,1.088890,1.083400,1.084150,46779.0000
2020-02-14 00:00:00+00,1.084160,1.086130,1.082720,1.083100,41064.0000
2020-02-16 00:00:00+00,1.084200,1.084210,1.083650,1.084140,856.0000
2020-02-17 00:00:00+00,1.084120,1.085110,1.082920,1.083680,24407.0000
2020-02-18 00:00:00+00,1.083660,1.083730,1.078560,1.079440,51908.0000
2020-02-19 00:00:00+00,1.079410,1.081180,1.078220,1.080980,47309.0000
2020-02-20 00:00:00+00,1.080960,1.082120,1.077780,1.078770,62206.0000
2020-02-21 00:00:00+00,1.078780,1.086360,1.078720,1.084740,63344.0000
2020-02-23 00:00:00+00,1.081490,1.084200,1.081490,1.083860,2453.0000
2020-02-24 00:00:00+00,1.083870,1.087220,1.080520,1.084880,81730.0000
2020-02-25 00:00:00+00,1.084870,1.089040,1.083020,1.087980,91170.0000
2020-02-26 00:00:00+00,1.087970,1.090900,1.085510,1.088640,96381.0000
