timestamp,open,high,low,close,volume
2020-01-15 00:00:00+00,1.302140,1.305880,1.298480,1.303980,27613.0000
2020-01-16 00:00:00+00,1.304000,1.308320,1.302540,1.307670,28065.0000
2020-01-17 00:00:00+00,1.307640,1.311900,1.300660,1.300890,30862.0000
2020-01-19 00:00:00+00,1.299380,1.300790,1.299380,1.300590,408.0000
2020-01-20 00:00:00+00,1.300610,1.301360,1.296210,1.300410,16381.0000
2020-01-21 00:00:00+00,1.300380,1.308340,1.299540,1.304570,26844.0000
2020-01-22 00:00:00+00,1.304600,1.315300,1.303480,1.314420,32581.0000
2020-01-23 00:00:00+00,1.314400,1.315140,1.309680,1.311900,26059.0000
2020-01-24 00:00:00+00,1.311920,1.317520,1.305700,1.307200,33407.0000
2020-01-26 00:00:00+00,1.308060,1.308060,1.306090,1.306140,749.0000
2020-01-27 00:00:00+00,1.306160,1.310530,1.304000,1.305940,23118.0000
2020-01-28 00:00:00+00,1.305960,1.306510,1.297520,1.302350,21390.0000
2020-01-29 00:00:00+00,1.302330,1.302780,1.298960,1.302150,17752.0000
2020-01-30 00:00:00+00,1.302130,1.311020,1.297780,1.308520,34050.0000
2020-01-31 00:00:00+00,1.308540,1.320980,1.308440,1.320530,26819.0000
2020-02-02 00:00:00+00,1.317660,1.318430,1.317460,1.318130,508.0000
2020-02-03 00:00:00+00,1.318100,1.318260,1.298300,1.299700,32893.0000
2020-02-04 00:00:00+00,1.299720,1.304680,1.294130,1.303070,31751.0000
2020-02-05 00:00:00+00,1.303090,1.307000,1.295660,1.299530,32775.0000
2020-02-06 00:00:00+00,1.299560,1.299880,1.292100,1.293040,26011.0000
2020-02-07 00:00:00+00,1.293020,1.295930,1.288200,1.288610,29276.0000
2020-02-09 00:00:00+00,1.289210,1.289430,1.288580,1.288990,530.0000
2020-02-10 00:00:00+00,1.288970,1.294620,1.287210,1.291600,25923.0000
2020-02-11 00:00:00+00,1.291620,1.296820,1.289460,1.295640,28121.0000
2020-02-12 00:00:00+00,1.295620,1.299160,1.295180,1.295800,23989.0000
2020-02-13 00:00:00+00,1.295770,1.306960,1.294410,1.304560,32965.0000
2020-02-14 00:00:00+00,1.304530,1.306340,1.300120,1.304660,24062.0000
2020-02-16 00:00:00+00,1.303990,1.305420,1.303680,1.305180,386.0000
2020-02-17 00:00:00+00,1.305160,1.305160,1.299840,1.300580,16332.0000
2020-02-18 00:00:00+00,1.300560,1.304880,1.297100,1.299920,29364.0000
2020-02-19 00:00:00+00,1.299940,1.302350,1.290760,1.292580,28515.0000
2020-02-20 00:00:00+00,1.292550,1.292870,1.284920,1.288090,33394.0000
2020-02-21 00:00:00+00,1.288070,1.298100,1.287910,1.296070,31760.0000
2020-02-23 00:00:00+00,1.294620,1.295620,1.294550,1.295180,650.0000
